id	audience	category	difficulty	question_ja	reading_kana	intent_zh	short_answer_ja	confirm_required	source_doc	tags
Q041	technical	ai	3	AIアシスタントは何ができますか。	エーアイ アシスタント は / なに が できます か。//	詢問AI助理範圍	検証済み編集ツールを通じて一般のプロジェクト編集を支援し、変更は取り消せます。ただし品質評価は継続中で、Deployやハードウェアは操作しません。	false	10_TECHNICAL_QA.md	technical,ai,qualify
Q042	hard	no_code	3	「ノーコード」は誇大ではありませんか。	ノーコード は / こだい では ありません か。//	質疑no-code宣稱	対応ボードと標準機能の範囲では、アプリケーションコードを手で書かずに進められます。特殊要件にはCustom Cや追加開発が必要です。	false	11_HARD_QUESTIONS_AND_SAFE_ANSWERS.md	hard,no_code,boundary
Q043	hard	maturity	3	本当にProduction Readyですか。	ほんとう に / プロダクション レディー です か。//	挑戰產品成熟度	正式な提供状態と条件は確認が必要です。現在の開発版で確認できる事実と、正式出荷の承認を分けて回答します。	true	11_HARD_QUESTIONS_AND_SAFE_ANSWERS.md	hard,maturity,confirm
Q044	hard	competition	3	競合より何が優れているのですか。	きょうごう より / なに が すぐれて いる の です か。//	逼迫做競品優劣宣稱	同一条件の比較結果がないため、優位性を断定しません。お客様の重要作業を同じ条件で比較します。	true	11_HARD_QUESTIONS_AND_SAFE_ANSWERS.md	hard,competition,confirm
Q045	hard	one_click	3	どんなボードでもワンクリックで使えるのですか。	どんな ボード でも / ワンクリック で つかえる の です か。//	挑戰一鍵部署宣稱	いいえ。対応ボードでもツールチェーンと接続の準備が必要で、新しいボードには統合と実機検証が必要です。	false	11_HARD_QUESTIONS_AND_SAFE_ANSWERS.md	hard,deployment,boundary
Q046	hard	emulator	3	Emulatorが動けば量産も大丈夫ですよね。	エミュレーター が うごけば / りょうさん も だいじょうぶ です よ ね。//	誘導把模擬器等同量產	いいえ。Emulatorは生成コードの確認に有効ですが、量産判断には実機の性能、通信、耐久性などの検証が必要です。	false	11_HARD_QUESTIONS_AND_SAFE_ANSWERS.md	hard,emulator,production
Q047	hard	can	3	CAN対応と書いてあるのに、なぜ使えないのですか。	キャン たいおう と かいて ある の に、/ なぜ つかえない の です か。//	質疑CAN宣稱矛盾	現在は接続層とループバック確認の段階で、タグと画面部品を結ぶ製品機能としては案内していません。	false	11_HARD_QUESTIONS_AND_SAFE_ANSWERS.md	hard,can,boundary
Q048	hard	ai_privacy	3	AIに機密情報が漏れませんか。	エーアイ に / きみつ じょうほう が もれません か。//	質疑AI資料外洩	OpenRouterでは送信内容がOpenRouterへ、Ollamaでは設定したホストへ送られます。本機内で完結するのはローカルホストの場合だけです。導入前に接続先、データ分類、モデル、保持条件を確認します。	true	11_HARD_QUESTIONS_AND_SAFE_ANSWERS.md	hard,ai,privacy,confirm
Q049	hard	license	3	ソースのライセンスはMITではありませんか。	ソース の ライセンス は / エム・アイ・ティー では ありません か。//	要求確認MIT授權	READMEの記載だけでは正式な権利条件を約束できません。承認済みのライセンス文書を確認して回答します。	true	11_HARD_QUESTIONS_AND_SAFE_ANSWERS.md	hard,license,confirm
Q050	hard	pricing_pressure	3	価格を今日出せないのですか。	かかく を / きょう だせない の です か。//	施壓要求當天報價	非公式な価格は申し上げません。案件条件と承認済み価格を担当部門に確認し、回答日をここで決めます。	true	11_HARD_QUESTIONS_AND_SAFE_ANSWERS.md	hard,pricing,pressure,confirm
Q051	hard	exclusivity_pressure	3	今日、独占を約束してください。	きょう、/ どくせん を やくそく して ください。//	施壓要求當場獨家	この場では約束できません。地域、期間、業績条件、支援能力、見直し条項を確認し、正式に検討します。	true	11_HARD_QUESTIONS_AND_SAFE_ANSWERS.md	hard,exclusivity,pressure,confirm
Q052	discovery	use_case	1	最初に想定している顧客と用途は何ですか。	さいしょ に そうてい して いる / こきゃく と ようと は なん です か。//	探索首個目標客戶與用途	回答を記録し、対象顧客、用途、現在の方法を一文で確認します。	false	12_DISCOVERY_QUESTIONS.md	discovery,customer,use_case
Q053	discovery	pain	1	今の開発で一番時間がかかる工程はどこですか。	いま の かいはつ で / いちばん じかん が かかる こうてい は / どこ です か。//	探索現行最大瓶頸	具体例、頻度、影響を一つずつ追問し、推測で問題を決めません。	false	12_DISCOVERY_QUESTIONS.md	discovery,pain,workflow
Q054	discovery	decision_roles	2	技術評価、商務判断、最終承認は、それぞれどなたが担当されますか。	ぎじゅつ ひょうか、しょうむ はんだん、さいしゅう しょうにん は、/ それぞれ どなた が たんとう されます か。//	確認決策角色	担当者の氏名、役割、必要な資料、判断時期を確認します。	false	12_DISCOVERY_QUESTIONS.md	discovery,stakeholders,decision
Q055	discovery	hardware	2	対象のボード、MCU、表示インターフェースは決まっていますか。	たいしょう の ボード、エム・シー・ユー、ひょうじ インターフェース は / きまって います か。//	探索硬體前提	決まっていなければ候補を記録し、解像度、メモリー、タッチ、接続口も確認します。	false	12_DISCOVERY_QUESTIONS.md	discovery,hardware,requirements
Q056	discovery	communication	2	どの接続口を使い、どのプロトコルで、どちら側が通信を開始しますか。	どの せつぞくぐち を つかい、/ どの プロトコル で、/ どちらがわ が つうしん を かいし ます か。//	探索連接、協定與角色	物理接続、プロトコル、開始側を分けて記録し、対応可否は確認後に回答します。	false	12_DISCOVERY_QUESTIONS.md	discovery,protocol,roles
Q057	discovery	success_criteria	2	評価を成功と判断するために、必ず動作すべき三つの項目は何ですか。	ひょうか を せいこう と はんだん する ため に、/ かならず どうさ すべき みっつ の こうもく は / なん です か。//	探索驗收標準	三つの必須項目、測定方法、合格条件を文書で確認します。	false	12_DISCOVERY_QUESTIONS.md	discovery,success,acceptance
Q058	discovery	next_step	1	次回までに、お互いの担当者、成果物、期限を確認してもよろしいでしょうか。	じかい まで に、/ おたがい の たんとうしゃ、せいかぶつ、きげん を / かくにん しても よろしい でしょう か。//	確認雙方下一步	担当者、成果物、期限を復唱し、会議後に文書で共有します。	false	12_DISCOVERY_QUESTIONS.md	discovery,next_step,owner_date
Q059	listening	positioning_variant	1	一言で言うと？	ひとこと で いう と？//	辨識省略式的一句定位要求	製品の一言説明をご希望ですね。EDT HMI Studioは、組み込みHMI向けのビジュアル開発環境です。	false	23_LISTENING_REPAIR_AND_VARIANTS.md	listening,short_question,positioning
Q060	listening	pricing_variant	2	で、いくらですか。	で、/ いくら です か。//	辨識主管短問價格	価格についてですね。承認済み条件を確認し、担当部門から書面で回答します。	true	23_LISTENING_REPAIR_AND_VARIANTS.md	listening,short_question,pricing,confirm
Q061	listening	support_variant	2	誰が面倒を見るのですか。	だれ が / めんどう を みる の です か。//	辨識口語化的支援責任問題	サポート体制についてですね。責任範囲、応答時間、エスカレーションは正式確認が必要です。	true	23_LISTENING_REPAIR_AND_VARIANTS.md	listening,short_question,support,confirm
Q062	listening	roadmap_variant	2	次は何が出るのですか。	つぎ は / なに が でる の です か。//	辨識roadmap短問	開発計画についてですね。承認済みの範囲だけを共有し、未確定項目は現在機能として約束しません。	true	23_LISTENING_REPAIR_AND_VARIANTS.md	listening,roadmap,confirm
Q063	listening	repair	1	少し早すぎましたか。	すこし / はやすぎました か。//	練習請對方慢速重說	恐れ入ります。もう一度、少しゆっくりお願いできますか。	false	23_LISTENING_REPAIR_AND_VARIANTS.md	listening,repair,rescue
Q064	listening	multi_part	3	価格と教育の担当、それから開始時期はどうなりますか。	かかく と きょういく の たんとう、/ それから かいし じき は / どう なります か。//	辨識並拆解三段問題	ご質問は三点あると理解しております。価格、教育の担当、開始時期の順にお答えします。	true	23_LISTENING_REPAIR_AND_VARIANTS.md	listening,multi_part,confirm
