id	term	preferred_japanese	mora_split	accent_note	common_error	example_japanese	example_reading	review_status
P022	integration	連携	れ・ん・け・い	ン與ケイ各自清楚	依漢字套中文聲調	既存システムとの連携を確認します。	きそんシステムとの れんけいを かくにんします。	依情境也可用統合
P023	distributor	販売代理店	は・ん・ば・い／だ・い・り・て・ん	複合詞中間微停	把代理店念成中文音	販売代理店向けの説明です。	はんばいだいりてんむけの せつめいです。	一般用法
P024	subsidiary	海外子会社	か・い・が・い／こ・が・い・しゃ	拗音しゃ一拍	子会社讀錯為こしゃ	海外子会社と連携します。	かいがいこがいしゃと れんけいします。	一般用法
P025	executive	経営幹部	け・い・え・い／か・ん・ぶ	長音連續仍逐拍	直接用片假名顯得含糊	経営幹部向けに要点を説明します。	けいえいかんぶむけに ようてんを せつめいします。	一般用法
P026	manager	責任者	せ・き・に・ん・しゃ	ン與しゃ各一拍	把しゃ拆成しや	技術責任者に確認します。	ぎじゅつせきにんしゃに かくにんします。	依職稱調整
P027	pricing	価格体系	か・か・く／た・い・け・い	体系四拍	直接承諾未核准價格	価格体系は担当者に確認します。	かかくたいけいは たんとうしゃに かくにんします。	一般用法
P028	license	ライセンス	ラ・イ・セ・ン・ス	ン占一拍	念成英文但句子其餘是日文	ライセンス条件を確認します。	ライセンスじょうけんを かくにんします。	一般用法
P029	roadmap	ロードマップ	ロ・ー・ド｜マ・ッ・プ	兩個促長對比要清楚	漏掉ッ	ロードマップ項目は現行機能と分けて説明します。	ロードマップこうもくは げんこうきのうと わけて せつめいします。	一般用法
P030	compatible	対応しています	た・い・お・う・し・て・い・ま・す	たいおう四拍	用中文語序直譯	現在、この構成に対応しています。	げんざい このこうせいに たいおうしています。	範圍依事實表
P031	customization	カスタマイズ	カ・ス・タ・マ・イ・ズ	マイズ三拍	中間音脫落	カスタマイズの範囲を確認します。	カスタマイズの はんいを かくにんします。	一般用法
P032	evaluation	評価	ひょ・う・か	拗音ひょ一拍；う一拍	把ひょう讀成ひよう	まず評価条件を決めます。	まず ひょうかじょうけんを きめます。	一般用法
P033	quotation	見積書	み・つ・も・り・しょ	り與しょ分開	把しょ拆成しよ	正式な見積書を後ほど提出します。	せいしきな みつもりしょを のちほど ていしゅつします。	需核准後使用
P034	proof of concept	概念実証	が・い・ね・ん／じ・っ・しょ・う	促音與拗長音都保留	POC念法前後不一	概念実証の成功条件を決めます。	がいねんじっしょうの せいこうじょうけんを きめます。	也可說ピーオーシー
P035	POC	ピーオーシー	ピ・ー｜オ・ー｜シ・ー	字母逐一	長音省略	まず一件のPOCから始めます。	まず いっけんの ピーオーシーから はじめます。	團隊慣用念法待確認
P036	SLA	エスエルエー	エ・ス｜エ・ル｜エ・ー	字母逐一	當場做未核准承諾	SLAは担当部門に確認します。	エスエルエーは たんとうぶもんに かくにんします。	商務核准要
P037	API	エーピーアイ	エ・ー｜ピ・ー｜ア・イ	字母逐一	最後アイ太快	APIの仕様を確認します。	エーピーアイの しようを かくにんします。	一般用法
P038	SDK	エスディーケー	エ・ス｜ディ・ー｜ケ・ー	字母逐一	ディー縮短	SDKの提供範囲を確認します。	エスディーケーの ていきょうはんいを かくにんします。	產品範圍另依事實表
P039	version	バージョン	バ・ー・ジョ・ン	ジョ一拍；ン一拍	把ジョ拆成ジヨ	現在のバージョンで確認します。	げんざいの バージョンで かくにんします。	一般用法
P040	percent	パーセント	パ・ー・セ・ン・ト	長音與ン清楚	數字與單位黏住	改善率は二十パーセントです。	かいぜんりつは にじゅっパーセントです。	數字僅供發音練習
P041	millisecond	ミリ秒	ミ・リ・びょ・う	びょ一拍；う一拍	把びょう拆成びよう	応答時間は百ミリ秒です。	おうとうじかんは ひゃくミリびょうです。	數字僅供發音練習
P042	September 3	九月三日	く・が・つ／み・っ・か	三日使用みっか	念成さんにち	九月三日までに回答します。	くがつ みっかまでに かいとうします。	一般用法
